Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Max_Count,Count 4,Won 4,Prob Won 4,Count 5,Won 5,Prob Won 5,Count 6,Won 6,Prob Won 6
19600529-M-Roland_Garros-F-Nicola_Pietrangeli-Luis_Ayala,Nicola Pietrangeli,Luis Ayala,R,R,19600529,Roland Garros,5,Deuce,Clay,6,15,9,0.6,10,4,0.4,17,9,0.529411765
19600704-M-Wimbledon-F-Rod_Laver-Neale_Fraser,Rod Laver,Neale Fraser,L,L,19600704,Wimbledon,5,Deuce,Grass,4,44,26,0.590909091,5,4,0.8,19,12,0.631578947
19690703-M-Wimbledon-SF-Rod_Laver-Arthur_Ashe,Rod Laver,Arthur Ashe,L,R,19690703,Wimbledon,5,Deuce,Grass,6,19,11,0.578947368,10,5,0.5,19,11,0.578947368
19690706-M-Wimbledon-F-John_Newcombe-Rod_Laver,John Newcombe,Rod Laver,R,L,19690706,Wimbledon,5,Deuce,Grass,4,40,19,0.475,4,1,0.25,20,11,0.55
19690907-M-US_Open-F-Rod_Laver-Tony_Roche,Rod Laver,Tony Roche,L,L,19690907,US Open,5,Deuce,Grass,4,36,19,0.527777778,12,11,0.916666667,13,9,0.692307692
19700704-M-Wimbledon-F-John_Newcombe-Ken_Rosewall,John Newcombe,Ken Rosewall,R,R,19700704,Wimbledon,5,Deuce,Grass,6,21,15,0.714285714,7,2,0.285714286,48,35,0.729166667
19710704-M-Wimbledon-F-John_Newcombe-Stan_Smith,John Newcombe,Stan Smith,R,R,19710704,Wimbledon,5,Deuce,Grass,6,26,19,0.730769231,3,1,0.333333333,46,28,0.608695652
19710916-M-US_Open-F-Jan_Kodes-Stan_Smith,Jan Kodes,Stan Smith,R,R,19710916,US Open,5,Deuce,Grass,6,13,6,0.461538462,7,3,0.428571429,27,14,0.518518519
19720910-M-US_Open-F-Arthur_Ashe-Ilie_Nastase,Arthur Ashe,Ilie Nastase,R,R,19720910,US Open,5,Deuce,Grass,6,22,14,0.636363636,1,1,1,30,19,0.633333333
19730603-M-Roland_Garros-F-Nikola_Pilic-Ilie_Nastase,Nikola Pilic,Ilie Nastase,L,R,19730603,Roland Garros,5,Deuce,Clay,6,12,5,0.416666667,1,0,0,12,3,0.25
19730909-M-US_Open-F-Jan_Kodes-John_Newcombe,Jan Kodes,John Newcombe,R,R,19730909,US Open,5,Deuce,Grass,6,10,9,0.9,3,2,0.666666667,21,12,0.571428571
19740707-M-Wimbledon-F-Ken_Rosewall-Jimmy_Connors,Ken Rosewall,Jimmy Connors,R,L,19740707,Wimbledon,5,Deuce,Grass,4,27,13,0.481481481,6,3,0.5,4,1,0.25
19740714-M-Bastad-F-Bjorn_Borg-Adriano_Panatta,Bjorn Borg,Adriano Panatta,R,R,19740714,Bastad,5,Deuce,Clay,4,35,22,0.628571429,11,8,0.727272727,11,8,0.727272727
19740908-M-US_Open-F-Ken_Rosewall-Jimmy_Connors,Ken Rosewall,Jimmy Connors,R,L,19740908,US Open,5,Deuce,Grass,6,8,5,0.625,5,2,0.4,15,2,0.133333333
